yy,mon,title_h,title_f,title_m,title_e,detail_link,author,publisher,pub_date,price,n_reviews,review_link,rating,tags
2023,1,[도서],,만일 내가 인생을 다시 산다면,벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,https://www.yes24.com/Product/Goods/115142458,['김혜남'],메이븐,2022년 11월,"15,480",133,https://www.yes24.com/Product/Goods/115142458?ReviewYn=Y,9.6,"['#2023대구올해의책', '#크레마클럽에있어요', '#인생선배', '#인생2막대비', '#내인생이달라졌다']"
2023,1,[도서],,긴긴밤,,https://www.yes24.com/Product/Goods/97255028,['루리'],문학동네,2021년 02월,"10,350",366,https://www.yes24.com/Product/Goods/97255028?ReviewYn=Y,9.8,"['#대장금_출판사대표추천도서', '#독서지도안', '#북클러버의선택', '#2022아침독서추천도서', '#내맘대로올해의책']"
