title,detail_link,author,publisher,pub_date,ori_price,disc_price,num_review,content_review,edit_review,preview
"[도서]   불편한 편의점(벚꽃 에디션) 
            
            ",https://www.yes24.com/Product/Goods/99308021,"
김호연 저  
                
                
                    "," 나무옆의자
                
                    "," 2021년 04월
                 
            ","14,000원 ","12,600",518,4,4,"
			            불편한데 자꾸 가고 싶은 편의점이 있다!  힘들게 살아낸 오늘을 위로하는 편의점의 밤 정체불명의 알바로부터 시작된 웃음과 감동의 나비효과 『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 2  2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 ...
			        "
"[도서]   내가 가진 것을 세상이 원하게 하라 : 최인아 대표가 축적한 일과 삶의 인사이트 
            
            ",https://www.yes24.com/Product/Goods/118429999,"
최인아 저  
                
                
                    "," 해냄
                
                    "," 2023년 04월
                 
            ","17,500원 ","15,750",111,4,4,"
			            “세상도 어찌하지 못할 당신만의 세계를 가졌는가”  일하는‘나’의 고민과 방황을 붙잡고 자기 이름으로 일하는 사람이 지녀야 할 시선과 태도  이직할 것인가, 전업할 것인가, 창업할 것인가… 시장 불확실성이 높아지고, 업의 변화 속도는 빠르고, 조직에 대한 가치관이 충돌하는 오늘날, 일하는 사람들의 고민이 ...
			        "
"[만화]   주술회전 22 더블특장판 : 사쿠라지마 콜로니-환생-(초판한정부록 : 스페셜 일러스트 카드 + 선착순 '옷코츠 유타' 포토카드 (책과랩핑)) 
            
            ",https://www.yes24.com/Product/Goods/118683704,"
아쿠타미 게게 글그림/이정운 역  
                
                
                    "," 서울미디어코믹스(서울문화사)
                
                    "," 2023년 05월
                 
            ","6,000원 ","5,400",32,4,4,"
			            사쿠라지마 콜로니에 갑자기 날아든 의문의 주령! 그것은 사후에 저주로 돌변한, 마키와 관련 있는 인물이었다…!! 주태에서 성체로, 무시무시한 속도로 진화하는 주령에게 점점 내몰리는 마키와 노리토시.
			        "
"[도서]   아버지의 해방일지
",https://www.yes24.com/Product/Goods/112253263,"
정지아 저  
                
                
                    "," 창비
                
                    "," 2022년 09월
                 
            ","15,000원 ","13,500",329,4,4,"
			            새삼스럽게 경탄스럽다! 압도적인 몰입감, 가슴 먹먹한 감동 정지아의 손끝에서 펼쳐지는 시대의 온기  미스터리 같은 한 남자가 헤쳐온 역사의 격랑 그 안에서 발견하는 끝끝내 강인한 우리의 인생  김유정문학상 심훈문학대상 이효석문학상 등을 수상하며 문학성을 두루 입증받은 ‘리얼리스트’ 정지아가 무려 32...
			        "
"[도서]   내면소통 : 삶의 변화를 가져오는 마음근력 훈련 
            
            ",https://www.yes24.com/Product/Goods/117643865,"
김주환 저  
                
                
                    "," 인플루엔셜
                
                    "," 2023년 02월
                 
            ","33,000원 ","29,700",47,4,4,"
			            “나와 세상을 바꾸는 힘은 불굴의 의지가 아니라  실패를 두려워하지 않는 마음근력에서 나온다.”  『회복탄력성』김주환 교수가 최신 뇌과학과 명상으로 안내하는  모든 두려움으로부터 완전히 자유로워지는 법   ★ 최재천, 권오현, 채정호, 김봉진, 김대식, 김미경, 장동선, 최재붕  한국 최고의 학계·경영계 ...
			        "
"[도서]   장하준의 경제학 레시피 : 마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기 
            
            ",https://www.yes24.com/Product/Goods/117985747,"
장하준 저/김희정 역  
                
                
                    "," 부키
                
                    "," 2023년 03월
                 
            ","18,000원 ","16,200",87,4,4,"
			            팍팍한 살림살이와 불안한 경제를 어떻게 헤쳐나갈 것인가? 세계적 석학 장하준, 더 공정하고 다 함께 잘사는 길을 제시하다!  “자유 시장의 자유에 맡겨 두면 경제가 저절로 발전할까?” “사람들이 가난한 건 게으르기 때문일까?” “기회의 평등만 보장하면 공정한 세상이 만들어질까?” “복지 제도는 가난한 사람...
			        "
"[도서]   이지성의 1만 킬로미터 : 그들은 왜 목숨을 건 여정을 떠나는가?([9월의 굿즈] 페이퍼 인센스, 산리오캐릭터즈 독서 아이템 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118413637,"
이지성 저  
                
                
                    "," 차이정원
                
                    "," 2023년 04월
                 
            ","18,000원 ","16,200",74,4,4,"
			            북한과 중국, 동남아를 거쳐 한국까지, 나는 무엇을 보았는가? ‘북한의 쉰들러’ 수퍼맨 목사와 ‘든든한 후원자’ 이지성 작가의 탈북로드 5년의 기록   “지금 하버드대 교수들과 학생들이 읽고 있는 책!”  - 케이시 라티그 주니어(하버드 교육대학원 친선대사)  이지성 작가가 5년 동안 주목해왔던 이것. 바로 ...
			        "
"[도서]   도둑맞은 집중력 : 집중력 위기의 시대, 삶의 주도권을 되찾는 법(어크로스 도서 3만 원 이상 구매 시 캠핑 의자 증정 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118579613,"
요한 하리 저/김하현 역  
                
                
                    "," 어크로스
                
                    "," 2023년 04월
                 
            ","18,800원 ","16,920",106,4,4,"
			            아마존, 월 스트리트 저널 올해의 책 애덤 그랜트·수전 케인·힐러리 클린턴 추천, 2023년 최고의 화제작  “우리는 어떻게 ‘나도 모르는 새’ 집중력을 도둑맞고 있을까” 3만 마일의 비행, 250명 전문가와의 인터뷰 뉴욕타임스 베스트셀러 작가의 전방위적인 탐사가 시작된다  전 세계 모든 곳에서, 집중하는 우리...
			        "
"[도서]   원씽 THE ONE THING : 복잡한 세상을 이기는 단순함의 힘(리커버 특별판) 
            
            ",https://www.yes24.com/Product/Goods/9349031,"
게리 켈러,제이 파파산 저/구세희 역  
                
                
                    "," 비즈니스북스
                
                    "," 2013년 08월
                 
            ","14,000원 ","12,600",243,4,4,"
			            아마존 종합 베스트셀러 1위! 아마존 자기계발 분야 260주 연속 스테디셀러! 「월스트리트 저널」 종합 베스트셀러 1위! 「뉴욕 타임스」「USA 투데이」「워싱턴 포스트」 베스트셀러! 전 세계 독자들이 주목한 최고의 책! 20만 부 판매 기념 리커버 특별한정판!  인생의 반전을 불러오는 단순함의 힘 당신의 삶을 ...
			        "
"[도서]   돈의 속성 300쇄 리커버(양장) 
            
            ",https://www.yes24.com/Product/Goods/90428162,"
김승호 저  
                
                
                    "," 스노우폭스북스
                
                    "," 2020년 06월
                 
            ","17,800원 ","16,020",372,4,4,"
			            유튜브 1,100만 명이 시청한 [돈의 속성] 완결판 최상위 부자 김승호 회장이 직접 밝히는 돈에 대한 통찰과 철학 맨손에서 종잣돈을 만들고 돈을 불리는 75가지 방법  이 책 『돈의 속성』은 3년 전 어느 극장 하나를 빌려 대중에게 강의했던 내용을 기반으로 집필됐다. 강연은 방송을 통해 전파되며 유튜브와 셀럽들에...
			        "
