yy,mon,title_h,title_m,title_f,title_e,detail_link,author,publisher,pub_date,price,n_reviews,reivew_link,rating,tags
2023,1,[도서],ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,,,https://www.yes24.com/Product/Goods/105384881,"['게리 켈러', '제이 파파산', '구세희']",YBM(와이비엠),2021년 12월,"16,020",125,https://www.yes24.com/Product/Goods/105384881?ReviewYn=Y,9.6,"['#분철', '#토익만점기출로잡는다']"
2023,1,[만화],슬램덩크 신장재편판 3,,첫 시합 능남전 1,https://www.yes24.com/Product/Goods/62921746,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 08월,"6,300",107,https://www.yes24.com/Product/Goods/62921746?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[만화],슬램덩크 신장재편판 2,,풋내기 슛,https://www.yes24.com/Product/Goods/62921720,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 08월,"5,850",104,https://www.yes24.com/Product/Goods/62921720?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[도서],역행자,,돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,https://www.yes24.com/Product/Goods/109705390,"['게리 켈러', '제이 파파산', '구세희']",웅진지식하우스,2022년 05월,"15,750",431,https://www.yes24.com/Product/Goods/109705390?ReviewYn=Y,9.3,"['#올해의책', '#창업할때읽으면좋은책', '#자수성가비법', '#성공하는사업의비결', '#성공의공식']"
2023,1,[만화],슬램덩크 신장재편판 20,,북산vs.산왕공고 5,https://www.yes24.com/Product/Goods/66360837,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"6,300",86,https://www.yes24.com/Product/Goods/66360837?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 5,,송태섭과 정대만,https://www.yes24.com/Product/Goods/62921950,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 08월,"6,300",95,https://www.yes24.com/Product/Goods/62921950?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[만화],슬램덩크 신장재편판 19,,북산vs.산왕공고 4,https://www.yes24.com/Product/Goods/66360835,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"6,300",75,https://www.yes24.com/Product/Goods/66360835?ReviewYn=Y,9.9,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 18,,북산vs.산왕공고 3,https://www.yes24.com/Product/Goods/66360832,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"5,850",79,https://www.yes24.com/Product/Goods/66360832?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 6,,북산 문제아 군단,https://www.yes24.com/Product/Goods/62921999,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 08월,"6,300",93,https://www.yes24.com/Product/Goods/62921999?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[만화],슬램덩크 신장재편판 16,,북산vs.산왕공고 1,https://www.yes24.com/Product/Goods/66360827,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"6,300",74,https://www.yes24.com/Product/Goods/66360827?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
